# Weather station Sofia (weather station), Bulgaria, WMO_ID=15614,selection from 16.01.2017 till 16.01.2018, all days
# Encoding: UTF-8
# The data are provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=15614&lang=en
#
"Local time in Sofia (weather station)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.01.2018 14:00";"0.8";"714.3";"768.7";"-0.2";"92";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Rain and snow or other types of solid precipitation";"Rain.";"0.5";"1.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"-0.3";"Trace of precipitation";"6";"";"";"";"";
"13.01.2018 11:00";"1.2";"714.5";"768.9";"0.3";"91";"Wind blowing from the east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"0.7";"1.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"-0.1";"";"";"";"";"";"";
"13.01.2018 08:00";"1.6";"714.2";"768.5";"0.3";"89";"Wind blowing from the south-east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"1.1";"4.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"0.0";"1.0";"12";"";"";"";"";
"13.01.2018 05:00";"2.4";"713.9";"768.0";"0.3";"86";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"1.9";"4.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"14.0";"0.3";"";"";"";"";"";"";
"13.01.2018 02:00";"3.0";"713.6";"767.5";"0.1";"90";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.4";"4.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"1.5";"1.0";"6";"";"";"";"";
"12.01.2018 23:00";"3.4";"713.5";"767.4";"0.9";"93";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.8";"4.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.4";"";"";"";"";"";"";
"12.01.2018 20:00";"3.8";"712.6";"766.3";"0.8";"90";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"2.6";"5.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"10.0";"2.3";"0.3";"12";"";"";"";"";
"12.01.2018 17:00";"5.2";"711.8";"765.1";"0.0";"79";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.6";"5.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"1.8";"";"";"";"";"";"";
"12.01.2018 14:00";"5.4";"711.8";"765.1";"0.7";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"2.6";"5.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"0.4";"No precipitation";"6";"";"";"";"";
"12.01.2018 11:00";"3.8";"711.1";"764.6";"1.0";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"2.7";"4.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"16.0";"1.3";"";"";"";"";"";"";
"12.01.2018 08:00";"3.0";"710.1";"763.8";"1.2";"90";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.9";"5.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"11.0";"1.5";"Trace of precipitation";"12";"";"";"";"";
"12.01.2018 05:00";"3.6";"708.9";"762.4";"0.5";"90";"Wind blowing from the west";"2";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.2";"5.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"9.0";"2.1";"";"";"";"";"";"";
"12.01.2018 02:00";"3.7";"708.4";"761.8";"0.6";"90";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.6";"5.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"9.0";"2.2";"Trace of precipitation";"6";"";"";"";"";
"11.01.2018 23:00";"4.2";"707.8";"761.0";"0.7";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"4.0";"5.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"10.0";"2.0";"";"";"";"";"";"";
"11.01.2018 20:00";"5.2";"707.1";"760.1";"0.2";"82";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"2.8";"6.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"10.0";"2.3";"No precipitation";"12";"";"";"";"";
"11.01.2018 17:00";"5.8";"706.9";"759.8";"0.0";"77";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"2.8";"6.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"2.0";"";"";"";"";"";"";
"11.01.2018 14:00";"5.8";"706.9";"759.8";"-0.3";"77";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"2.8";"6.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"12.0";"2.0";"No precipitation";"6";"";"";"";"";
"11.01.2018 11:00";"5.0";"707.2";"760.3";"0.0";"82";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"2.8";"5.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"2.1";"";"";"";"";"";"";
