# Weather station Sofia (weather station), Bulgaria, WMO_ID=15614,selection from 16.01.2017 till 16.01.2018, all days
# Encoding: UTF-8
# The data are provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=15614&lang=en
#
"Local time in Sofia (weather station)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.06.2017 20:00";"28.4";"709.6";"758.4";"0.0";"38";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"20.8";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"12.8";"No precipitation";"12";"";"";"";"";
"25.06.2017 17:00";"30.8";"709.6";"758.1";"-0.9";"25";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"20.8";"31.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"30.0";"8.7";"";"";"";"";"";"";
"25.06.2017 14:00";"29.2";"710.5";"759.3";"-1.2";"29";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"20.8";"29.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.2";"No precipitation";"6";"";"";"";"";
"25.06.2017 11:00";"26.2";"711.7";"761.0";"0.1";"42";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"20.8";"26.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"12.4";"";"";"";"";"";"";
"25.06.2017 08:00";"20.8";"711.6";"761.8";"0.1";"62";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"15.0";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"13.3";"No precipitation";"12";"";"";"";"";
"25.06.2017 05:00";"16.6";"711.5";"762.5";"0.1";"74";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"15.0";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"28.0";"12.0";"";"";"";"";"";"";
"25.06.2017 02:00";"18.0";"711.4";"762.1";"0.4";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"27.4";"";"";"";"";"";"20.0";"14.6";"No precipitation";"6";"";"";"";"";
"24.06.2017 23:00";"22.2";"711.0";"760.9";"0.6";"61";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"22.2";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"14.2";"";"";"";"";"";"";
"24.06.2017 20:00";"27.2";"710.4";"759.5";"-0.8";"40";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"23.6";"30.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"12.4";"No precipitation";"12";"";"";"";"";
"24.06.2017 17:00";"29.5";"711.2";"760.0";"0.4";"36";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"23.6";"30.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"12.8";"";"";"";"";"";"";
"24.06.2017 14:00";"29.6";"710.8";"759.5";"-0.8";"34";"Wind blowing from the north-west";"4";"";"";"50%.";" ";"";"";"23.6";"30.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"12.3";"No precipitation";"6";"";"";"";"";
"24.06.2017 11:00";"26.6";"711.6";"760.9";"0.2";"45";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"23.6";"27.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"13.7";"";"";"";"";"";"";
"24.06.2017 08:00";"23.6";"711.4";"761.1";"1.0";"56";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"18.6";"27.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"14.4";"No precipitation";"12";"";"";"";"";
"24.06.2017 05:00";"20.6";"710.4";"760.6";"0.2";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"18.6";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"15.7";"";"";"";"";"";"";
"24.06.2017 02:00";"18.8";"710.2";"760.7";"0.2";"78";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"18.6";"27.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"14.8";"No precipitation";"6";"";"";"";"";
"23.06.2017 23:00";"22.1";"710.0";"759.9";"0.6";"65";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"22.0";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"15.2";"";"";"";"";"";"";
"23.06.2017 20:00";"27.7";"709.4";"758.3";"0.0";"44";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"19.6";"32.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"28.0";"14.4";"No precipitation";"12";"";"";"";"";
"23.06.2017 17:00";"31.2";"709.4";"757.7";"-1.1";"37";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"19.6";"32.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"28.0";"14.8";"";"";"";"";"";"";
"23.06.2017 14:00";"30.1";"710.5";"759.1";"-1.4";"42";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"19.6";"30.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"28.0";"15.8";"No precipitation";"6";"";"";"";"";
"23.06.2017 11:00";"25.2";"711.9";"761.3";"-0.3";"57";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"19.6";"25.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"16.1";"";"";"";"";"";"";
"23.06.2017 08:00";"19.6";"712.2";"762.7";"-0.1";"74";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"15.0";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"14.9";"No precipitation";"12";"";"";"";"";
"23.06.2017 05:00";"16.8";"712.3";"763.3";"0.0";"73";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"15.0";"26.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"11.8";"";"";"";"";"";"";
"23.06.2017 02:00";"17.8";"712.3";"763.1";"0.5";"73";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"15.5";"26.8";"";"";"";"";"";"20.0";"12.9";"No precipitation";"6";"";"";"";"";
"22.06.2017 23:00";"18.6";"711.8";"762.4";"0.6";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"18.0";"26.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"13.8";"";"";"";"";"";"";
"22.06.2017 20:00";"26.2";"711.2";"760.5";"0.0";"51";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.1";"29.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"15.2";"No precipitation";"12";"";"";"";"";
"22.06.2017 17:00";"27.0";"711.2";"760.4";"-0.1";"43";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"20.1";"29.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"25.0";"13.5";"";"";"";"";"";"";
"22.06.2017 14:00";"29.0";"711.3";"760.2";"-0.4";"34";"Wind blowing from the north-west";"3";"";"";"60%.";" ";"";"";"20.1";"29.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"25.0";"11.6";"No precipitation";"6";"";"";"";"";
"22.06.2017 11:00";"25.6";"711.7";"761.1";"0.1";"52";"Wind blowing from the north";"3";"";"";"20–30%.";" ";"";"";"20.1";"25.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"14.9";"";"";"";"";"";"";
"22.06.2017 08:00";"20.1";"711.6";"762.0";"0.2";"67";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"14.0";"25.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"13.8";"No precipitation";"12";"";"";"";"";
"22.06.2017 05:00";"14.9";"711.4";"762.7";"0.0";"89";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"14.0";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"13.0";"";"";"";"";"";"";
"22.06.2017 02:00";"16.7";"711.4";"762.4";"0.4";"79";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"15.8";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"13.0";"No precipitation";"6";"";"";"";"";
"21.06.2017 23:00";"18.8";"711.0";"761.5";"1.0";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.4";"25.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"12.5";"";"";"";"";"";"";
"21.06.2017 20:00";"24.8";"710.0";"759.4";"-0.2";"48";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.8";"28.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"13.1";"No precipitation";"12";"";"";"";"";
"21.06.2017 17:00";"27.4";"710.2";"759.3";"-0.2";"35";"Wind blowing from the north";"3";"";"";"40%.";" ";"";"";"16.8";"28.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"10.4";"";"";"";"";"";"";
"21.06.2017 14:00";"27.2";"710.4";"759.5";"-0.6";"37";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"17.2";"27.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"11.1";"No precipitation";"6";"";"";"";"";
"21.06.2017 11:00";"23.0";"711.0";"760.8";"-0.4";"56";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"17.2";"23.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"13.6";"";"";"";"";"";"";
"21.06.2017 08:00";"17.4";"711.4";"762.3";"0.3";"75";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"12.3";"23.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"12.9";"No precipitation";"12";"";"";"";"";
"21.06.2017 05:00";"14.4";"711.1";"762.6";"-0.3";"81";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"12.3";"23.2";"";"";"";"";"";"25.0";"11.1";"";"";"";"";"";"";
"21.06.2017 02:00";"13.8";"711.4";"763.0";"-0.3";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"23.2";"";"";"";"";"";"20.0";"11.6";"No precipitation";"6";"";"";"";"";
"20.06.2017 23:00";"16.4";"711.7";"762.8";"0.5";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"23.2";"";"";"";"";"";"20.0";"13.1";"";"";"";"";"";"";
"20.06.2017 20:00";"23.0";"711.2";"761.1";"-0.5";"55";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"17.0";"25.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"13.4";"0.1";"12";"";"";"";"";
"20.06.2017 17:00";"24.2";"711.7";"761.4";"-0.9";"47";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"17.0";"25.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"12.3";"";"";"";"";"";"";
"20.06.2017 14:00";"21.2";"712.6";"762.9";"-0.3";"61";"Calm, no wind";"0";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"17.0";"25.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"26.0";"13.4";"0.1";"6";"";"";"";"";
"20.06.2017 11:00";"22.6";"712.9";"763.0";"-0.3";"54";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.0";"22.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"12.7";"";"";"";"";"";"";
"20.06.2017 08:00";"17.0";"713.2";"764.2";"0.4";"73";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.5";"19.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"12.0";"No precipitation";"12";"";"";"";"";
"20.06.2017 05:00";"10.5";"712.8";"765.1";"0.1";"94";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.5";"19.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"28.0";"9.5";"";"";"";"";"";"";
"20.06.2017 02:00";"11.8";"712.7";"764.8";"-0.2";"91";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"11.6";"19.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"10.3";"No precipitation";"6";"";"";"";"";
"19.06.2017 23:00";"15.0";"712.9";"764.3";"0.2";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.0";"19.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"11.4";"";"";"";"";"";"";
"19.06.2017 20:00";"19.2";"712.7";"763.3";"0.1";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"14.2";"22.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"11.8";"Trace of precipitation";"12";"";"";"";"";
"19.06.2017 17:00";"21.4";"712.6";"762.9";"-0.4";"49";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"14.2";"22.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"10.3";"";"";"";"";"";"";
"19.06.2017 14:00";"20.0";"713.0";"763.6";"0.0";"55";"Wind blowing from the north-east";"1";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"14.2";"20.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.7";"Trace of precipitation";"6";"";"";"";"";
"19.06.2017 11:00";"16.4";"713.0";"764.2";"0.7";"72";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.2";"18.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"16.0";"11.2";"";"";"";"";"";"";
"19.06.2017 08:00";"14.8";"712.3";"763.6";"0.7";"84";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.2";"15.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"12.1";"4.0";"12";"";"";"";"";
"19.06.2017 05:00";"13.6";"711.6";"763.2";"0.6";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.2";"14.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"12.2";"";"";"";"";"";"";
"19.06.2017 02:00";"12.8";"711.0";"762.7";"0.2";"91";"Wind blowing from the west";"4";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"12.2";"13.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"1000-1500";"";"";"8.0";"11.3";"4.0";"6";"";"";"";"";
"18.06.2017 23:00";"12.4";"710.8";"762.6";"1.1";"93";"Wind blowing from the west";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"12.4";"13.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"1000-1500";"";"";"8.0";"11.3";"";"";"";"";"";"";
"18.06.2017 20:00";"13.0";"709.7";"761.3";"1.0";"89";"Wind blowing from the west";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.2";"15.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"1000-1500";"";"";"10.0";"11.2";"1.0";"12";"";"";"";"";
"18.06.2017 17:00";"14.8";"708.7";"759.9";"0.1";"81";"Wind blowing from the west-northwest";"3";"";"";"100%.";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.2";"15.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"1000-1500";"";"";"10.0";"11.5";"";"";"";"";"";"";
"18.06.2017 14:00";"14.4";"708.6";"759.8";"0.2";"86";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.2";"14.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"12.1";"0.1";"6";"";"";"";"";
"18.06.2017 11:00";"13.8";"708.4";"759.8";"0.4";"81";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"12.2";"14.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"10.5";"";"";"";"";"";"";
"18.06.2017 08:00";"12.2";"708.0";"759.6";"0.1";"88";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"12.0";"14.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.3";"No precipitation";"12";"";"";"";"";
"18.06.2017 05:00";"12.6";"707.9";"759.5";"-0.2";"66";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"12.3";"14.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"6.3";"";"";"";"";"";"";
"18.06.2017 02:00";"12.9";"708.1";"759.7";"-0.6";"63";"Wind blowing from the west";"6";"";"";"40%.";" ";"";"";"12.6";"14.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"5.9";"No precipitation";"6";"";"";"";"";
"17.06.2017 23:00";"14.4";"708.7";"760.0";"0.3";"66";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"12.7";"14.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"8.0";"";"";"";"";"";"";
